rank,feature,mean_abs_shap
481,cnn_embedding_1370,0.007059493649805404
482,cnn_embedding_1847,0.007029879585721588
483,cnn_embedding_793,0.007028614403611755
484,cnn_embedding_503,0.0070225768474998064
485,cnn_embedding_508,0.007020064049230968
486,cnn_embedding_303,0.007012457881194934
487,cnn_embedding_1655,0.006993392910279006
488,cnn_embedding_424,0.006991168605162556
489,cnn_embedding_380,0.006988529741468597
490,cnn_embedding_1555,0.006987608787801492
491,cnn_embedding_2004,0.006972564134643177
492,cnn_embedding_1880,0.006970269124972362
493,cnn_embedding_1035,0.006944872286322834
494,cnn_embedding_553,0.00694411858282038
495,cnn_embedding_831,0.006942839177767723
496,cnn_embedding_1951,0.006937628213390212
497,cnn_embedding_1083,0.006924719722373141
498,cnn_embedding_203,0.0069202108085669066
499,cnn_embedding_1590,0.006918395173738645
500,cnn_embedding_974,0.006912789783815399
501,cnn_embedding_164,0.006864031465426024
502,cnn_embedding_657,0.006856600801529567
503,cnn_embedding_843,0.006847764032722381
504,cnn_embedding_1090,0.006844138738912165
505,cnn_embedding_237,0.006841488005392193
506,cnn_embedding_151,0.006841145905892887
507,cnn_embedding_1672,0.006840674866663221
508,cnn_embedding_439,0.0068319804311407495
509,cnn_embedding_1126,0.0068305999003015925
510,cnn_embedding_1001,0.00682819876869587
511,cnn_embedding_1057,0.006828006436098733
512,cnn_embedding_1801,0.006816171996260323
513,cnn_embedding_1203,0.006807065520355593
514,cnn_embedding_1414,0.006806760105982778
515,cnn_embedding_1960,0.006793294175397336
516,cnn_embedding_1646,0.006775978350890633
517,cnn_embedding_099,0.006759913249175043
518,cnn_embedding_1110,0.006758241208314075
519,cnn_embedding_1450,0.0067561674800108665
520,cnn_embedding_227,0.006753326087945766
521,cnn_embedding_1595,0.006735557862134556
522,cnn_embedding_268,0.006731937117502617
523,cnn_embedding_1182,0.0067243077235332295
524,cnn_embedding_1266,0.00671246246955306
525,cnn_embedding_1736,0.00670902426150235
526,cnn_embedding_1089,0.006699139114491004
527,cnn_embedding_1597,0.006695908589142619
528,cnn_embedding_920,0.006695124664815921
529,cnn_embedding_275,0.0066736135269906075
530,cnn_embedding_1552,0.0066482146801224214
531,cnn_embedding_858,0.006630738519098145
532,cnn_embedding_1031,0.0066294130486717505
533,cnn_embedding_1058,0.006619284986508944
534,cnn_embedding_579,0.006606440673851921
535,cnn_embedding_1393,0.0065990825251972755
536,cnn_embedding_507,0.0065749418861852146
537,cnn_embedding_765,0.006566171415410338
538,cnn_embedding_1647,0.006564952419304859
539,cnn_embedding_1215,0.006562871279066939
540,cnn_embedding_105,0.006562716701984073
541,cnn_embedding_2043,0.006562111343547628
542,cnn_embedding_117,0.006558666975644556
543,cnn_embedding_253,0.006554470350382147
544,cnn_embedding_131,0.006548959912172592
545,cnn_embedding_1300,0.006527635085782535
546,cnn_embedding_038,0.00652652159546534
547,cnn_embedding_1060,0.00652056087506594
548,cnn_embedding_1431,0.006510988100505699
549,cnn_embedding_570,0.006504921235349315
550,cnn_embedding_326,0.006503143809985801
551,cnn_embedding_684,0.006489979133820612
552,cnn_embedding_914,0.006480300365143421
553,cnn_embedding_1691,0.006465430490939639
554,cnn_embedding_499,0.00646268625006492
555,cnn_embedding_1063,0.0064265443308523015
556,cnn_embedding_1144,0.0064065359690495425
557,cnn_embedding_1183,0.006400889226711825
558,cnn_embedding_1121,0.006398860063612943
559,cnn_embedding_495,0.00639807756160522
560,cnn_embedding_981,0.006396790285391774
561,cnn_embedding_1653,0.006395048570585616
562,cnn_embedding_614,0.0063913961689952
563,cnn_embedding_905,0.006387203037031242
564,cnn_embedding_676,0.006384853747509389
565,cnn_embedding_1473,0.006362145385696749
566,cnn_embedding_032,0.006360674643973496
567,cnn_embedding_122,0.006340930510214449
568,cnn_embedding_1697,0.006337192440435046
569,cnn_embedding_1488,0.006336848927637107
570,cnn_embedding_1878,0.006335091810333715
571,cnn_embedding_930,0.006319075512028505
572,cnn_embedding_1604,0.006301684966574328
573,cnn_embedding_939,0.006290987465627751
574,cnn_embedding_643,0.0062863813449425265
575,cnn_embedding_1544,0.006284376701577799
576,cnn_embedding_788,0.0062784221620483475
577,cnn_embedding_033,0.006277878961149774
