rank,feature,mean_abs_shap
193,cnn_embedding_366,0.004761002412450921
194,cnn_embedding_1153,0.004757116538797845
195,cnn_embedding_914,0.004741144397229391
196,cnn_embedding_1242,0.004726123229943369
197,cnn_embedding_1049,0.00470553040874222
198,cnn_embedding_351,0.004688435963231541
199,cnn_embedding_1159,0.004681240374210915
200,cnn_embedding_1822,0.004674255614560252
201,cnn_embedding_676,0.0046738828349646155
202,cnn_embedding_812,0.0046674636723906815
203,cnn_embedding_1890,0.00466684055035671
204,cnn_embedding_538,0.004651163771058009
205,cnn_embedding_828,0.004649689613700048
206,cnn_embedding_1394,0.0046365083706660926
207,cnn_embedding_1628,0.0046155538236973825
208,cnn_embedding_1898,0.004614990644732586
209,cnn_embedding_1020,0.004585411941434359
210,ocr_has_numeric,0.004576828610879602
211,cnn_embedding_1706,0.004555788018876683
212,cnn_embedding_1824,0.004534451092315095
213,cnn_embedding_572,0.004522425348767456
214,cnn_embedding_278,0.004515848512781417
215,cnn_embedding_1878,0.00451055862929195
216,cnn_embedding_026,0.0045044638873932286
217,cnn_embedding_330,0.004483113890557888
218,cnn_embedding_788,0.004478589509396613
219,cnn_embedding_1458,0.004459817974918678
220,cnn_embedding_028,0.004449997103527892
221,cnn_embedding_067,0.004447832608946101
222,cnn_embedding_765,0.004426306602269392
223,cnn_embedding_570,0.004409966886584016
224,cnn_embedding_579,0.004399448574474718
225,cnn_embedding_1958,0.004390025141759679
226,cnn_embedding_038,0.0043718430470107705
227,cnn_embedding_1876,0.004369230348572728
228,cnn_embedding_347,0.004368512220338516
229,cnn_embedding_1652,0.004361303485012513
230,cnn_embedding_1333,0.004347805434548491
231,cnn_embedding_354,0.004331799701958516
232,cnn_embedding_997,0.004327934349134921
233,cnn_embedding_1238,0.004317967617623708
234,cnn_embedding_245,0.004292160518026833
235,cnn_embedding_1844,0.004276780689465909
236,cnn_embedding_1936,0.004259691988117709
237,cnn_embedding_977,0.004241440511435712
238,cnn_embedding_1825,0.004211590047482616
239,cnn_embedding_270,0.00419729695002502
240,cnn_embedding_739,0.004191850636402705
241,cnn_embedding_627,0.004188800956514527
242,cnn_embedding_1538,0.0041847924697506755
243,cnn_embedding_1426,0.004180243419000362
244,cnn_embedding_194,0.0041750982215162935
245,cnn_embedding_1210,0.004174921660990094
246,cnn_embedding_1798,0.0041729521338425
247,cnn_embedding_958,0.0041498291985249125
248,cnn_embedding_325,0.004134768198184702
249,cnn_embedding_1632,0.004129413725664222
250,cnn_embedding_1278,0.004118737420096608
251,cnn_embedding_1987,0.004118469154690274
252,cnn_embedding_1313,0.004113712164574679
253,cnn_embedding_948,0.004106736429818625
254,cnn_embedding_1392,0.00408332404252576
255,cnn_embedding_046,0.0040824331614430776
256,cnn_embedding_535,0.004075604461434068
257,cnn_embedding_1989,0.004067743413756375
258,cnn_embedding_1093,0.004041468986656582
259,cnn_embedding_1617,0.004039758669392768
260,cnn_embedding_1962,0.004037191378216676
261,cnn_embedding_021,0.0040326858625689965
262,cnn_embedding_996,0.0040259283516306255
263,cnn_embedding_165,0.00402452727978897
264,cnn_embedding_670,0.004019587901808563
265,cnn_embedding_1327,0.004017705842031205
266,cnn_embedding_1373,0.004016811029643463
267,cnn_embedding_1529,0.004014670701167233
268,cnn_embedding_1838,0.004011438991788907
269,cnn_embedding_1837,0.004008923913470852
270,cnn_embedding_1597,0.004006445983982587
271,cnn_embedding_701,0.00399257910464712
272,cnn_embedding_120,0.003975067536153176
273,cnn_embedding_1481,0.003967534231328784
274,cnn_embedding_503,0.003963051685872188
275,cnn_embedding_1695,0.003961871915208803
276,cnn_embedding_638,0.003953932666412641
277,cnn_embedding_1507,0.003943221652860984
278,cnn_embedding_1193,0.003936328842595316
279,cnn_embedding_1033,0.0039126475747117695
280,cnn_embedding_940,0.0039023884668552
281,cnn_embedding_153,0.003891204367491241
282,cnn_embedding_1954,0.0038795545380594376
283,cnn_embedding_1785,0.0038630732250908295
284,cnn_embedding_1110,0.003852516284808871
285,cnn_embedding_456,0.003847087713740649
286,cnn_embedding_304,0.003842216693030309
287,cnn_embedding_370,0.0038302104468641573
288,cnn_embedding_1815,0.003826499541503381
289,cnn_embedding_1209,0.0038222577053090845
290,cnn_embedding_1540,0.003819843133570089
291,cnn_embedding_1933,0.003817900824138576
292,cnn_embedding_1107,0.0038147190621522498
293,cnn_embedding_1220,0.0038120870324007683
294,cnn_embedding_1605,0.00381030702692442
295,cnn_embedding_1288,0.003804515113088769
296,cnn_embedding_847,0.003800782803864422
297,cnn_embedding_1935,0.0037987201734352993
298,cnn_embedding_604,0.003797115650357341
299,cnn_embedding_733,0.0037871695664009053
