Id,num_faces,largest_face_area_ratio,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral,emotion_unknown
ipJb4mB5bMA,1,0.17716288173996872,0,0,0,0,0,1,0,0
tV8OhAc3Zyc,2,0.18782013714336915,0,0,0,0,1,0,0,0
My4RA5I0FKs,1,0.009855703919626346,0,0,0,1,0,0,0,0
_M_Yhlh2PTo,0,0.0,0,0,0,0,1,0,0,0
8eq2vGEEbB4,0,0.0,0,0,1,0,0,0,0,0
I_1FPzRtLMA,0,0.0,0,0,1,0,0,0,0,0
YQDDm9HLkV4,3,0.014658512751419847,0,0,0,0,0,0,1,0
lC5lsemxaJo,2,0.017967489233750612,0,0,1,0,0,0,0,0
m-Ob3aq-wrg,1,0.1688116894140338,0,0,0,0,1,0,0,0
h-StyszRCzc,0,0.0,0,0,0,0,0,0,1,0
XNYlEq46giM,1,0.04718131726564328,0,0,1,0,0,0,0,0
HkPatmQFLXU,3,0.005204569210472982,0,0,0,1,0,0,0,0
fEMxFSjmo5Q,2,0.029348908205847693,0,0,0,0,0,0,1,0
RyLXLFaspj0,1,0.0212658221693184,0,0,1,0,0,0,0,0
9NKG9lR34dM,1,0.02209940517251198,1,0,0,0,0,0,0,0
tl-Kmo2UTHE,0,0.0,0,0,0,0,1,0,0,0
p1PgNbgWSyY,0,0.0,0,0,1,0,0,0,0,0
5WL8Omm7b-4,2,0.03310723373498149,0,0,0,1,0,0,0,0
b1reY72ktEc,1,0.026042661412243432,0,0,1,0,0,0,0,0
1Za8BtLgKv8,4,0.029063789163087675,0,0,0,1,0,0,0,0
PmJbLFAHoe4,0,0.0,0,0,0,0,0,0,1,0
fuB6-qNwk7k,0,0.0,1,0,0,0,0,0,0,0
yGPfKkjDIts,4,0.0012742323564958091,1,0,0,0,0,0,0,0
8HEfIJlcFbs,1,0.0029728524256057024,0,0,0,0,0,0,1,0
_CXdl9H28uE,2,0.005522894482451698,0,0,1,0,0,0,0,0
6B22Uy7SBe4,2,0.08679725547905642,0,0,0,0,1,0,0,0
wNo7qoLRtkQ,1,0.08014881342481305,0,0,0,1,0,0,0,0
w4xm9NHNUf8,1,0.8972377792538777,0,0,0,0,0,0,1,0
qju9ULFiW8E,2,0.001452675775960112,0,0,0,0,0,0,1,0
3kJPxsELVAk,2,0.028743762244866956,1,0,0,0,0,0,0,0
hQAHSlTtcmY,1,0.038596119803651165,0,0,0,0,1,0,0,0
GvzKAnzWTrw,0,0.0,0,0,1,0,0,0,0,0
jzYEmIycjtQ,1,0.15660929558447467,0,0,0,0,1,0,0,0
RS7gyZJg5nc,0,0.0,0,0,0,0,1,0,0,0
gAkwW2tuIqE,0,0.0,0,0,0,0,0,0,1,0
hxv1-twWRGk,2,0.13188108304393004,0,0,0,0,0,0,1,0
QqLgmequ7Bk,2,0.05183603029373949,0,0,0,1,0,0,0,0
CLUWDLKAF1M,1,0.09173978844333912,0,0,0,0,1,0,0,0
tYRS0aXaBC8,1,0.17317501457869489,0,0,0,0,0,0,1,0
26EivpCPHnQ,0,0.0,0,0,0,1,0,0,0,0
yXWw0_UfSFg,1,0.0860664939216095,0,0,0,0,1,0,0,0
nbE8B7zggUg,1,0.03311988596767858,0,0,0,0,0,1,0,0
TUJWx7vo44c,2,0.020300416087738995,0,0,1,0,0,0,0,0
SzkHeDPTLOg,1,0.22740030580940937,0,0,0,0,1,0,0,0
uQJ7Map2qwM,4,0.1290081206232306,0,0,0,1,0,0,0,0
fVDOB9mby_w,2,0.033903637112285244,0,0,0,0,0,0,1,0
UsOcXG2v3EE,1,0.01973596453822274,0,0,1,0,0,0,0,0
yS3k_Inm45Q,2,0.006539084095887423,0,0,0,0,1,0,0,0
TVfIr_uM5zk,0,0.0,0,0,0,0,1,0,0,0
M400lV0GNV4,4,0.036789547431911464,0,0,0,0,0,1,0,0
FPs_lU01KoI,1,0.05982476221609431,0,0,0,0,1,0,0,0
